ControlId,Titre,Description,Objectif,Procédure,ResultatAttendu,Severite,Remediation,ReferencePages,Type,Categorie,Commandes,Notes
3.6,Auditer l'exécution des requêtes lentes (log_min_duration_statement),Définir un seuil de journalisation pour les requêtes consommatrices.,Empêcher la dégradation des performances du serveur et repérer des attaques DoS applicatives.,Exécuter la commande SQL : `SHOW log_min_duration_statement;`,"Doit être positionné à une valeur pragmatique (ex: 1000 pour 1s) ou -1 (désactivé) si géré autrement, pour ne pas inonder les logs.",Medium,Ajuster le seuil (ex : 2000 ms) : `ALTER SYSTEM SET log_min_duration_statement = 2000;` puis recharger.,p.35-p.36,configuration,Base de données,SHOW log_min_duration_statement;,champ présent
3.7,Configuration du préfixe des lignes de log (log_line_prefix),"Ajouter des informations de contexte détaillées (horodatage, PID, utilisateur, base) au début de chaque ligne de log.",Garantir la traçabilité en reliant précisément chaque instruction journalisée à son auteur et sa session.,Exécuter la commande SQL : `SHOW log_line_prefix;`,"Le préfixe doit comporter au moins l'horodatage (%m), le PID (%p), l'utilisateur (%u) et la base de données (%d).",Medium,Configurer le format recommandé : `ALTER SYSTEM SET log_line_prefix = '%m [%p] %q%u@%d ';` puis recharger.,p.37-p.39,configuration,Base de données,SHOW log_line_prefix;,champ présent
3.8,Journaliser les connexions réussies (log_connections),S'assurer de l'enregistrement systématique de chaque tentative de connexion réussie à la base.,Auditer les accès autorisés et détecter d'éventuels comportements d'intrusion ou scans de comptes.,Exécuter la commande SQL : `SHOW log_connections;`,Le paramètre doit renvoyer la valeur exacte 'on'.,High,Activer la trace : `ALTER SYSTEM SET log_connections = 'on';` puis recharger.,p.40-p.41,configuration,Base de données,SHOW log_connections;,champ présent
3.9,Journaliser les déconnexions (log_disconnections),Enregistrer l'événement de fin de session pour chaque utilisateur ainsi que la durée totale de connexion.,Corréler les heures de connexion et déconnexion avec les journaux de trafic réseau pour les audits post-incident.,Exécuter la commande SQL : `SHOW log_disconnections;`,Le paramètre doit renvoyer la valeur exacte 'on'.,High,Activer l'option : `ALTER SYSTEM SET log_disconnections = 'on';` puis recharger.,p.42-p.43,configuration,Base de données,SHOW log_disconnections;,champ présent
3.10,Désactiver la journalisation redondante de durée (log_duration),S'assurer que `log_duration` est désactivé au profit de `log_min_duration_statement`.,Éviter la saturation de l'espace disque due à des logs redondants.,Exécuter la commande SQL : `SHOW log_duration;`,La valeur renvoyée doit être 'off'.,Low,Désactiver le paramètre : `ALTER SYSTEM SET log_duration = 'off';` puis recharger la configuration.,p.44-p.45,configuration,Base de données,SHOW log_duration;,champ présent
3.11,Désactiver la résolution DNS inverse (log_hostname),Éviter de résoudre les noms d'hôtes IP de manière synchrone lors de la journalisation.,Prévenir les délais de connexion et les dénis de service (DoS) liés à un dysfonctionnement de serveurs DNS.,Exécuter la commande SQL : `SHOW log_hostname;`,La valeur renvoyée doit être 'off'.,Low,Désactiver l'option : `ALTER SYSTEM SET log_hostname = 'off';` puis recharger la configuration.,p.46-p.47,configuration,Base de données,SHOW log_hostname;,champ présent
3.12,Journaliser les attentes de verrous (log_lock_waits),Enregistrer un message de log lorsqu'un processus attend plus de `deadlock_timeout` pour obtenir un verrou.,Détecter les goulots d'étranglement ou les tentatives de blocage délibéré de tables (DoS).,Exécuter la commande SQL : `SHOW log_lock_waits;`,La valeur renvoyée doit être 'on'.,Medium,Activer le paramètre : `ALTER SYSTEM SET log_lock_waits = 'on';` puis recharger.,p.48-p.49,configuration,Base de données,SHOW log_lock_waits;,champ présent
3.13,Enregistrer les modifications structurelles SQL (log_statement),Configurer `log_statement` pour capturer au moins les requêtes d'altération de structures (ddl) ou de données (mod).,Tracer toutes les modifications de schémas (CREATE/ALTER/DROP) effectuées par les utilisateurs de la base.,Exécuter la commande SQL : `SHOW log_statement;`,La valeur recommandée est 'ddl' ou 'mod' (voire 'all' pour un audit strict).,High,Modifier le niveau : `ALTER SYSTEM SET log_statement = 'ddl';` puis recharger.,p.50-p.51,configuration,Base de données,SHOW log_statement;,champ présent
3.14,Configuration cohérente du fuseau horaire des logs (log_timezone),S'assurer que les horodatages dans les fichiers journaux utilisent un fuseau horaire unique et cohérent.,Faciliter la corrélation temporelle des logs de bases de données avec d'autres serveurs ou pare-feux.,Exécuter la commande SQL : `SHOW log_timezone;`,La valeur doit être cohérente avec le fuseau organisationnel (UTC recommandé).,Medium,Définir le fuseau horaire : `ALTER SYSTEM SET log_timezone = 'UTC';` puis recharger.,p.52-p.53,configuration,Base de données,SHOW log_timezone;,champ présent
4.1,Prohiber la méthode d'authentification 'trust' dans pg_hba.conf,S'assurer qu'aucune connexion réseau ou locale n'est autorisée sans contrôle (méthode d'accès trust).,Empêcher tout utilisateur d'accéder à la base de données sans fournir de mot de passe valide.,Interroger la table de configuration : `SELECT * FROM pg_hba_file_rules WHERE auth_method = 'trust';`,Aucune ligne ne doit être retournée.,Critical,"Éditer `pg_hba.conf` pour supprimer le mot clé `trust` et le remplacer par `scram-sha-256`, puis recharger.",p.56-p.58,configuration,Identités et accès,SELECT * FROM pg_hba_file_rules WHERE auth_method = 'trust';,champ présent
4.2,Limiter le nombre d'utilisateurs dotés du rôle SUPERUSER,Auditer et restreindre de manière stricte le rôle de superutilisateur (rolsuper).,"Limiter l'impact d'une compromission de compte, les superutilisateurs pouvant contourner toutes les sécurités.",Exécuter la requête d'audit : `SELECT rolname FROM pg_roles WHERE rolsuper = true;`,Seul l'utilisateur par défaut d'administration (ex : postgres) doit être listé.,Critical,Retirer le droit superutilisateur aux rôles superflus : `ALTER ROLE <nom_utilisateur> NOSUPERUSER;`.,p.59-p.61,configuration,Identités et accès,SELECT rolname FROM pg_roles WHERE rolsuper = true;,champ présent
4.3,Restreindre le privilège d'administration CREATEDB,S'assurer que seuls les comptes légitimes peuvent créer des bases de données.,Contrôler l'utilisation de l'espace disque et éviter que des environnements de test non audités soient déployés.,Exécuter la requête : `SELECT rolname FROM pg_roles WHERE rolcreatedb = true;`,Seuls les comptes d'administration documentés possèdent la valeur true.,High,Retirer le privilège : `ALTER ROLE <nom_utilisateur> NOCREATEDB;`.,p.62-p.63,configuration,Identités et accès,SELECT rolname FROM pg_roles WHERE rolcreatedb = true;,champ présent
4.4,Restreindre le privilège d'administration CREATEROLE,Restreindre la capacité à créer de nouveaux utilisateurs ou groupes de rôles.,Éviter l'élévation de privilèges ou la création furtive de comptes secondaires par des utilisateurs intermédiaires.,Exécuter la requête : `SELECT rolname FROM pg_roles WHERE rolcreaterole = true;`,Seuls les comptes d'administration habilités sont listés.,High,Retirer la permission : `ALTER ROLE <nom_utilisateur> NOCREATEROLE;`.,p.64-p.65,configuration,Identités et accès,SELECT rolname FROM pg_roles WHERE rolcreaterole = true;,champ présent
4.5,Restreindre le rôle technique REPLICATION,Auditer les rôles possédant l'attribut de réplication réseau.,Empêcher des attaquants d'initier un flux de réplication pour cloner la totalité des tables de la base de données.,Exécuter la requête : `SELECT rolname FROM pg_roles WHERE rolreplication = true;`,Seuls les rôles dédiés à la réplication technique (ex: replicator) sont retournés.,High,Retirer le privilège de réplication : `ALTER ROLE <nom_utilisateur> NOREPLICATION;`.,p.66-p.67,configuration,Identités et accès,SELECT rolname FROM pg_roles WHERE rolreplication = true;,champ présent
4.6,Protéger la table système pg_authid des lectures publiques,S'assurer que les empreintes cryptographiques des mots de passe ne sont pas lisibles par le public.,Prévenir l'aspiration des hashs de mots de passe de la base de données pour tentatives de crack hors-ligne.,"Exécuter la commande SQL : `SELECT has_table_privilege('public', 'pg_authid', 'SELECT');`",Le résultat doit retourner la valeur exacte 'false'.,High,Révoquer tout droit de lecture hérité : `REVOKE SELECT ON pg_authid FROM public;`.,p.68-p.69,configuration,Identités et accès,"SELECT has_table_privilege('public', 'pg_authid', 'SELECT');",champ présent
4.7,Révoquer le privilège de création par défaut du rôle PUBLIC sur le schéma public,Vérifier l'absence du droit d'écriture par défaut PUBLIC sur le schéma public de PostgreSQL 15.,Éviter qu'un compte utilisateur sans privilège puisse créer ou modifier des objets perturbant la production.,"Exécuter : `SELECT has_schema_privilege('public', 'public', 'CREATE');`",La valeur renvoyée doit être 'false'.,High,Révoquer explicitement le droit de création : `REVOKE CREATE ON SCHEMA public FROM PUBLIC;`.,p.70-p.72,configuration,Identités et accès,REVOKE CREATE ON SCHEMA public FROM PUBLIC;,champ présent
4.8,Exiger un chiffrement fort des mots de passe (scram-sha-256),S'assurer que la méthode par défaut de cryptage de mot de passe est configurée sur `scram-sha-256`.,Empêcher le stockage sous forme de hashs obsolètes de type MD5 sensibles au cassage rapide.,Exécuter la commande SQL : `SHOW password_encryption;`,La valeur renvoyée doit être exactement 'scram-sha-256'.,High,Définir la variable système : `ALTER SYSTEM SET password_encryption = 'scram-sha-256';` puis recharger la configuration.,p.73-p.74,configuration,Identités et accès,SHOW password_encryption;,champ présent
4.9,Vérifier l'absence de hachages MD5 obsolètes dans pg_hba.conf,S'assurer que les connexions réseau refusent l'authentification basée sur MD5 ou password en clair.,Forcer la mise à niveau de tous les canaux de connexion vers la négociation sécurisée SCRAM.,"Exécuter : `SELECT * FROM pg_hba_file_rules WHERE auth_method IN ('password', 'md5');`",La requête d'audit doit retourner 0 ligne.,Critical,Modifier `pg_hba.conf` pour remplacer les références md5 par scram-sha-256 et recharger la configuration.,p.75-p.77,configuration,Identités et accès,"SELECT * FROM pg_hba_file_rules WHERE auth_method IN ('password', 'md5');",champ présent
4.10,Fermeture automatique des transactions inactives (idle_in_transaction_session_timeout),Interrompre automatiquement les connexions inactives détenant des transactions ouvertes.,Prévenir l'épuisement de ressources de connexion et libérer les verrous exclusifs bloquants.,Exécuter la commande SQL : `SHOW idle_in_transaction_session_timeout;`,La valeur configurée doit être supérieure à 0 (ex : 300000 ms pour 5 minutes).,Medium,Configurer le délai : `ALTER SYSTEM SET idle_in_transaction_session_timeout = '300000';` et recharger.,p.78-p.79,configuration,Base de données,SHOW idle_in_transaction_session_timeout;,champ présent
4.11,Fermeture automatique des sessions inactives globales (idle_session_timeout),Interrompre les sessions client inactives après un certain temps de non-activité.,Prévenir l'encombrement du serveur de base de données par des connexions dormantes orphelines.,Exécuter la commande SQL : `SHOW idle_session_timeout;`,La valeur recommandée est supérieure à 0 (ex : 600000 ms pour 10 minutes).,Low,Configurer le délai : `ALTER SYSTEM SET idle_session_timeout = '600000';` et recharger.,p.79-p.80,configuration,Base de données,SHOW idle_session_timeout;,champ présent
5.1,Activer le chiffrement SSL/TLS réseau (ssl),Garantir le chiffrement de toutes les données et jetons d'accès transitant entre le client et le serveur.,Éviter l'écoute passive des transactions réseau ou l'interception de requêtes en clair.,Exécuter la commande SQL : `SHOW ssl;`,La valeur renvoyée doit être exactement 'on'.,High,Configurer dans postgresql.conf : `ssl = on` (requiert la configuration des clés et certificats serveur) puis redémarrer.,p.80-p.82,configuration,Réseau,SHOW ssl;,champ présent
5.2,Définir la version minimale du protocole SSL (ssl_min_protocol_version),S'assurer de rejeter les protocoles cryptographiques obsolètes et non sécurisés.,Bloquer les attaques de type rétrogradation de chiffrement (downgrade) qui exploitent les failles de TLSv1 ou TLSv1.1.,Exécuter la commande SQL : `SHOW ssl_min_protocol_version;`,La valeur recommandée est 'TLSv1.2' ou 'TLSv1.3'.,High,Modifier la variable : `ALTER SYSTEM SET ssl_min_protocol_version = 'TLSv1.2';` puis redémarrer le serveur.,p.83-p.84,configuration,Réseau,SHOW ssl_min_protocol_version;,champ présent
5.3,Sécuriser les suites d'algorithmes de chiffrement (ssl_ciphers),Restreindre le choix des ciphers TLS négociés avec les clients à des suites fortes.,Interdire l'utilisation d'algorithmes cryptographiques faibles ou compromis.,Exécuter la commande SQL : `SHOW ssl_ciphers;`,La suite configurée exclut les ciphers vulnérables (ex: HIGH:!aNULL:!3DES:!MD5).,Medium,Configurer les ciphers : `ALTER SYSTEM SET ssl_ciphers = 'HIGH:!aNULL:!3DES:!MD5';` et redémarrer le serveur.,p.85-p.86,configuration,Réseau,SHOW ssl_ciphers;,champ présent
5.5,Exiger la connexion réseau chiffrée exclusive (hostssl),S'assurer de n'autoriser dans le fichier d'accès pg_hba.conf que des entrées sécurisées ssl.,Bloquer toute tentative accidentelle de connexion cliente non sécurisée ou transitant en clair.,Interroger le catalogue système : `SELECT * FROM pg_hba_file_rules WHERE type = 'host';`,"Aucune ligne ne doit être retournée, ce qui indique que seuls des hôtes de type hostssl sont autorisés.",High,Éditer le fichier `pg_hba.conf` pour remplacer les règles réseau `host` par `hostssl` et recharger.,p.87-p.88,configuration,Réseau,SELECT * FROM pg_hba_file_rules WHERE type = 'host';,champ présent
6.1,Restreindre l'interface réseau d'écoute (listen_addresses),Limiter l'écoute du service PostgreSQL aux interfaces réseau d'administration ou applicatives requises.,Prévenir l'exposition aveugle et directe du port de base de données (5432) sur des réseaux publics.,Exécuter la commande SQL : `SHOW listen_addresses;`,"La valeur ne doit pas être '*', sauf si un coupe-feu strict gère l'isolation réseau complète de la machine.",High,Définir l'interface ou localhost : `ALTER SYSTEM SET listen_addresses = 'localhost';` (ou des adresses IP d'interfaces privées) puis redémarrer.,p.89-p.91,configuration,Réseau,SHOW listen_addresses;,champ présent
6.2,Ajuster la limite de connexions réseau (max_connections),Définir un nombre maximum de connexions clientes compatible avec les capacités de ressources physiques de la machine.,Empêcher le déni de service par épuisement de la mémoire vive ou des descripteurs de processus.,Exécuter : `SHOW max_connections;` et corréler avec les ressources CPU/RAM allouées.,La valeur doit être cohérente avec les limites système (ex: typiquement 100 à 500 pour des déploiements standards).,Medium,Configurer la valeur d'épuisement : `ALTER SYSTEM SET max_connections = 200;` (adapter) puis redémarrer le serveur.,p.92-p.93,configuration,Base de données,SHOW max_connections;,champ présent
7.1,Sécuriser les droits d'authentification de réplication,S'assurer que les connexions destinées au mécanisme de réplication requièrent une méthode robuste.,Empêcher la compromission globale de la base de données via l'injection de nœuds de réplication espions.,Interroger les configurations actives : `SELECT * FROM pg_hba_file_rules WHERE database = 'replication';`,Chaque ligne doit imposer une méthode sécurisée (scram-sha-256 ou cert).,High,Configurer des hôtes de réplication avec scram-sha-256 dans `pg_hba.conf` et recharger.,p.96-p.97,configuration,Identités et accès,SELECT * FROM pg_hba_file_rules WHERE database = 'replication';,champ présent
8.1,Activer et surveiller le démon de nettoyage autovacuum,S'assurer que le service d'autovacuum est activé en permanence.,"Prévenir l'arrêt d'urgence du système dû au wraparound d'identifiants de transaction, et optimiser la réutilisation de l'espace.",Exécuter la commande SQL : `SHOW autovacuum;`,Le paramètre doit renvoyer la valeur exacte 'on'.,High,"Activer le démon dans postgresql.conf : `autovacuum = on`, puis redémarrer ou recharger.",p.100-p.102,configuration,Base de données,SHOW autovacuum;,champ présent
8.3,Activer la collecte des statistiques d'activité (track_activities),Vérifier que le collecteur d'activités en temps réel est activé sur le serveur.,Permettre d'auditer et d'inspecter les requêtes en cours d'exécution pour repérer des anomalies ou requêtes suspectes.,Exécuter : `SHOW track_activities;`,La valeur renvoyée doit être exactement 'on'.,Medium,Ajuster la variable système : `ALTER SYSTEM SET track_activities = 'on';` puis recharger.,p.103-p.104,configuration,Base de données,SHOW track_activities;,champ présent
8.4,Limiter l'allocation de tampons de tables temporaires (temp_buffers),Définir la mémoire vive maximum utilisable par session pour les objets temporaires.,Prévenir le crash par dépassement global de mémoire (OOM) en limitant l'utilisation incontrôlée de tables temporaires.,Exécuter la commande SQL : `SHOW temp_buffers;`,La valeur doit respecter les limitations mémoires conseillées (ex: 8MB ou 16MB).,Low,Configurer la mémoire : `ALTER SYSTEM SET temp_buffers = '8MB';` puis recharger la configuration.,p.105-p.106,configuration,Base de données,SHOW temp_buffers;,champ présent
9.1,Définir une politique de sauvegarde régulière et auditer sa conformité,"Documenter les procédures de sauvegarde à froid ou à chaud (pg_dump, pg_basebackup) et planifier des exercices de restauration périodiques.",Garantir la reprise d'activité de l'entreprise après un sinistre ou une attaque cryptographique.,,Présence d'un document opérationnel à jour décrivant le plan de reprise d'activité (PRA/PCA).,High,"Établir un protocole de tests de restauration trimestriel, enregistrer les taux de réussite, et faire valider par la direction.",p.108,documentation,Organisationnel,,[A VERIFIER] contrôle organisationnel; aucune commande technique PostgreSQL directe.
