ControlId,Titre,Description,Objectif,Procédure,ResultatAttendu,Severite,Remediation,ReferencePages,Type,Categorie,Commandes,Notes
2.1.4,Les sauvegardes doivent être correctement sécurisées,Les sauvegardes contiennent toutes les données. Elles doivent être protégées par des permissions strictes et du chiffrement.,Prévenir l'accès non autorisé aux données de sauvegarde.,"Vérifier les permissions des fichiers de sauvegarde, le groupe, et si elles sont chiffrées.",Les sauvegardes ne sont pas lisibles par tout le monde et sont chiffrées.,High,Utiliser mariabackup avec chiffrement et restreindre les permissions.,p.36,configuration,Système/OS,mariabackup --backup --stream=xbstream | openssl enc -aes-256-cbc,Manual
2.1.5,Récupération à un instant précis (Point-in-Time Recovery),Les binlogs permettent de restaurer à un instant précis.,Réduire la perte d'informations lors de la restauration.,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables where variable_name = 'binlog_expire_logs_seconds';",La valeur ne doit pas être 0.,Medium,Activer les binlogs et configurer l'expiration.,p.38,configuration,Base de données,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables where variable_name = 'binlog_expire_logs_seconds';",Automated
2.1.6,Plan de reprise d'activité (DR),Une stratégie de reprise d'activité doit être planifiée.,Garantir la restauration du service dans un délai imparti (RTO).,Vérifier l'existence d'un plan de reprise d'activité.,Un plan DR existe et est testé.,High,Créer et tester un plan de reprise d'activité.,p.40,processus,Organisationnel,,Manual
2.1.7,Sauvegarde de la configuration et des fichiers liés,"Les fichiers de configuration, certificats et UDFs doivent être sauvegardés.",Garantir la restauration complète d'une instance.,"Vérifier que les fichiers my.cnf, certificats SSL, clés, logs d'audit sont sauvegardés.",Les fichiers sont inclus dans la sauvegarde.,Medium,Ajouter les fichiers omis aux procédures de sauvegarde.,p.42,processus,Système/OS,,Manual
2.2,Dédier la machine exécutant MariaDB,MariaDB doit être installé sur un serveur dédié.,Réduire la surface d'attaque en n'hébergeant que MariaDB.,Vérifier qu'aucun autre service n'est installé.,Seul MariaDB s'exécute.,Low,Désinstaller les autres services ou rôles.,p.44,processus,Système/OS,,Manual
2.3,Ne pas spécifier de mots de passe en ligne de commande,Les mots de passe passés via -p peuvent être visibles dans l'historique.,Éviter le vol de mots de passe via la liste des processus ou l'historique shell.,Vérifier l'historique shell pour des commandes avec -p.,Aucune commande MariaDB avec le mot de passe en clair.,High,Utiliser .mylogin.cnf ou saisir le mot de passe manuellement.,p.46,processus,Identités et accès,,Manual
2.4,Ne pas réutiliser les noms d'utilisateur,Les comptes de base de données ne doivent pas être réutilisés pour plusieurs applications ou utilisateurs.,Réduire l'impact d'une compromission de compte.,"SELECT host, user, plugin FROM mysql.user;",Chaque compte a un usage unique et spécifique.,Medium,Créer des comptes uniques pour chaque application/utilisateur.,p.48,configuration,Identités et accès,"SELECT host, user, plugin FROM mysql.user;",Manual
2.5,Assurer l'utilisation de matériel cryptographique unique et non par défaut,Les certificats numériques et les clés de chiffrement doivent être uniques pour chaque instance MariaDB.,Empêcher un attaquant de réutiliser des clés partagées ou par défaut pour compromettre des communications.,Vérifier que les certificats ne sont pas auto-générés par défaut.,Les certificats sont générés par une autorité interne/externe et sont spécifiques au serveur.,High,Générer de nouveaux certificats et clés cryptographiques.,p.50,configuration,Réseau,openssl x509 -in server-cert.pem -subject -noout,Manual
2.6,S'assurer que 'password_lifetime' est inférieur ou égal à '365',L'expiration des mots de passe garantit qu'ils sont changés régulièrement.,Ajouter un facteur de sécurité en forçant la rotation des mots de passe.,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables where VARIABLE_NAME like 'default_password_lifetime';",La valeur est <= 365.,Medium,SET GLOBAL default_password_lifetime=365;,p.51,configuration,Identités et accès,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables where VARIABLE_NAME like 'default_password_lifetime';",Automated
2.7,Verrouiller les comptes non utilisés,Désactiver les comptes inutilisés réduit la surface d'attaque.,Sécuriser les comptes dormants.,Vérifier le statut verrouillé des comptes (account_locked).,Les comptes non utilisés sont account_locked:true.,Medium,ALTER USER 'user'@'host' ACCOUNT LOCK;,p.54,configuration,Identités et accès,"SELECT CONCAT(user, '@', host, ' => ', JSON_DETAILED(priv)) FROM mysql.global_priv;",Manual
2.8,Utiliser l'authentification par socket peer-credential de manière appropriée,Le plugin unix_socket permet aux utilisateurs locaux de s'authentifier sans mot de passe.,Utiliser cette méthode de façon ciblée pour des accès administratifs locaux sécurisés.,"SELECT PLUGIN_NAME, PLUGIN_STATUS FROM INFORMATION_SCHEMA.PLUGINS WHERE PLUGIN_NAME = 'unix_socket';",Actif uniquement si la politique de l'entreprise l'autorise et restreint au localhost.,Medium,"unix_socket=OFF dans my.cnf si non requis, ou configurer correctement les utilisateurs.",p.56,configuration,Identités et accès,"SELECT PLUGIN_NAME, PLUGIN_STATUS FROM INFORMATION_SCHEMA.PLUGINS WHERE PLUGIN_NAME = 'unix_socket';",Manual
2.9,S'assurer que MariaDB est lié à une adresse IP spécifique,Limiter bind_address à une IP spécifique restreint les connexions TCP/IP.,Empêcher le serveur d'écouter sur toutes les interfaces réseau (0.0.0.0).,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables WHERE VARIABLE_NAME = 'bind_address';",bind_address n'est pas vide et est lié à une IP interne/spécifique.,High,Ajouter bind_address=192.0.2.24 dans mariadb.cnf.,p.59,configuration,Réseau,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables WHERE VARIABLE_NAME = 'bind_address';",Automated
2.10,Limiter les versions TLS acceptées,"MariaDB supporte TLS. N'accepter que les versions fortes (1.2, 1.3).",Protéger les données en transit avec des protocoles cryptographiques modernes.,select @@tls_version;,Ne contient pas TLSv1 ni TLSv1.1.,High,"tls_version=TLSv1.2,TLSv1.3",p.61,configuration,Réseau,select @@tls_version;,Automated
2.11,Exiger des certificats côté client (X.509),Utiliser des certificats côté client valide l'identité.,Fournir une authentification forte mutuelle.,"select user, host, ssl_type from mysql.user where user not in ('mysql', 'root', 'mariadb.sys');",ssl_type est X509.,High,ALTER USER 'user'@'%' REQUIRE X509;,p.63,configuration,Identités et accès,"select user, host, ssl_type from mysql.user;",Automated
2.12,S'assurer que seuls les chiffrements approuvés sont utilisés,Forcer les chiffrements TLS forts.,Empêcher l'utilisation d'algorithmes faibles.,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables WHERE VARIABLE_NAME = 'ssl_cipher';",Contient uniquement des algorithmes forts.,High,Configurer ssl_cipher dans mariadb.cnf.,p.65,configuration,Réseau,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables WHERE VARIABLE_NAME = 'ssl_cipher';",Automated
3.1,S'assurer que 'datadir' a les permissions appropriées,Le répertoire des données doit être restreint à l'utilisateur mysql.,Protéger la confidentialité et l'intégrité de la base de données.,"sudo ls -ld <datadir> | grep ""drwxr-x---.*mysql.*mysql""",Permissions 750 (drwxr-x---) et propriétaire mysql:mysql.,High,chmod 750 <datadir>; chown mysql:mysql <datadir>,p.68,configuration,Système/OS,show variables like 'datadir';,Automated
3.2,S'assurer que les fichiers 'log_bin_basename' ont les permissions appropriées,Les fichiers binlogs contiennent des informations sensibles.,Protéger la confidentialité des binlogs.,ls -l <log_bin_basename>*,Permissions 660 et propriétaire mysql:mysql.,High,chmod 660 <log file>; chown mysql:mysql <log file>,p.70,configuration,Système/OS,show variables like 'log_bin_basename';,Automated
3.3,S'assurer que 'log_error' a les permissions appropriées,Le journal d'erreurs contient des détails sur l'exécution.,Protéger le fichier d'erreurs.,ls -l <log_error>,Permissions 600 et propriétaire mysql:mysql.,High,chmod 600 <log file>; chown mysql:mysql <log file>,p.72,configuration,Système/OS,show variables like 'log_error';,Automated
3.4,S'assurer que 'slow_query_log' a les permissions appropriées,Le journal des requêtes lentes peut contenir des requêtes complètes.,Empêcher la fuite de données par le journal des requêtes lentes.,ls -l <slow_query_log_file>,"Permissions 660, ou journal désactivé.",Medium,Désactiver le slow query log ou définir chmod 660.,p.74,configuration,Système/OS,show variables like 'slow_query_log_file';,Automated
3.5,S'assurer que les fichiers 'relay_log_basename' ont les permissions appropriées,Les fichiers relay logs sont utilisés dans la réplication.,Protéger la confidentialité des relay logs.,ls -l <relay_log_basename>*,Permissions 660 et propriétaire mysql:mysql.,High,chmod 660 <log file>; chown mysql:mysql <log file>,p.76,configuration,Système/OS,show variables like 'relay_log_basename';,Automated
3.6,S'assurer que 'general_log_file' a les permissions appropriées,Le journal général enregistre toutes les connexions et requêtes.,Protéger ou désactiver le journal général.,ls -l <general_log_file>,"Désactivé, ou permissions 600.",Medium,SET PERSIST @@GENERAL_LOG=OFF; ou chmod 600,p.78,configuration,Système/OS,"select @@general_log, @@general_log_file;",Automated
3.7,S'assurer que les clés SSL ont les permissions appropriées,Les clés SSL privées doivent être fortement protégées.,Éviter qu'un attaquant n'usurpe l'identité du serveur.,ls -l <ssl_file>,Permissions 400 et propriétaire mysql:mysql.,High,chmod 400 <ssl_file>; chown mysql:mysql <ssl_file>,p.80,configuration,Système/OS,"SELECT * FROM information_schema.global_variables WHERE REGEXP_INSTR(VARIABLE_NAME,'^.*ssl_(ca|capath|cert|crl|crlpath|key)$');",Automated
3.8,S'assurer que le dossier des plugins a les permissions appropriées,Le répertoire des plugins charge du code tiers.,Empêcher le chargement de code malveillant.,ls -ld <plugin_dir>,Permissions 550 ou 554.,High,chmod 550 <plugin_dir>,p.82,configuration,Système/OS,show variables where variable_name = 'plugin_dir';,Automated
3.9,S'assurer que 'server_audit_file_path' a les permissions appropriées,Le journal d'audit est crucial pour la sécurité.,Protéger le journal d'audit contre la falsification.,ls -l <server_audit_file_path>,Permissions 660 et propriétaire mysql:mysql.,Medium,chmod 660 <server_audit_file_path>,p.84,configuration,Système/OS,show global variables where variable_name='server_audit_file_path';,Automated
3.10,S'assurer que les fichiers de clé de chiffrement ont les permissions appropriées,Les plugins de chiffrement stockent des clés (File Key Management).,Protéger les clés maîtresses de chiffrement.,Vérifier file_key_management_filename et filekey.,Permissions 750 ou plus restrictives pour mysql:mysql.,Medium,chmod 750 <file>,p.86,configuration,Système/OS,grep -Po '(?<=file_key_management_filename=).+$' /etc/mysql/mariadb.cnf,Automated
4.1,S'assurer que les derniers correctifs de sécurité sont appliqués,Les mises à jour corrigent les vulnérabilités.,Réduire les risques associés aux failles connues.,SHOW VARIABLES WHERE Variable_name LIKE 'version';,Version à jour.,High,Mettre à niveau MariaDB.,p.89,processus,Système/OS,SHOW VARIABLES WHERE Variable_name LIKE 'version';,Manual
4.2,S'assurer que les bases de test ou d'exemple ne sont pas installées,Les bases de données de test augmentent la surface d'attaque.,Nettoyer l'environnement de production.,SELECT * FROM information_schema.SCHEMATA;,Aucune base 'test'.,Medium,DROP DATABASE test;,p.91,configuration,Base de données,"SELECT * FROM information_schema.SCHEMATA where SCHEMA_NAME not in ('mysql','information_schema', 'sys', 'performance_schema');",Automated
4.3,S'assurer que 'allow-suspicious-udfs' est à 'OFF',Empêche l'ajout de fonctions définies par l'utilisateur (UDFs) suspectes.,Empêcher l'exécution de code malveillant via UDF.,my_print_defaults mysqld | grep allow-suspicious-udfs,Doit être désactivé (OFF) et absent de la commande.,High,Retirer --allow-suspicious-udfs de la ligne de commande.,p.93,configuration,Base de données,my_print_defaults mysqld | grep allow-suspicious-udfs,Automated
4.4,Durcir l'utilisation de 'local_infile' sur les clients,local_infile permet de charger des fichiers locaux.,Réduire le risque de lecture de fichiers locaux en cas d'injection SQL.,SHOW VARIABLES WHERE Variable_name = 'local_infile';,La valeur est 0 (OFF).,Medium,Désactiver local-infile=0 ou utiliser --load-data-local-dir.,p.95,configuration,Base de données,SHOW VARIABLES WHERE Variable_name = 'local_infile';,Automated
4.5,S'assurer que mariadb ne démarre pas avec 'skip-grant-tables',Démarre la base de données sans le système de privilèges.,Éviter l'accès non restreint à toutes les bases.,Vérifier la configuration my.cnf pour skip-grant-tables.,Doit être FALSE ou absent.,Critical,Retirer skip-grant-tables de la configuration.,p.97,configuration,Base de données,grep skip-grant-tables /etc/mysql/mariadb.cnf,Automated
4.6,S'assurer que les liens symboliques sont désactivés,Désactiver le support des liens symboliques pour les fichiers de base de données.,Empêcher le contournement des permissions par lien symbolique.,SHOW variables LIKE 'have_symlink';,La valeur est DISABLED.,High,Définir skip-symbolic-links = YES dans la configuration.,p.99,configuration,Base de données,SHOW variables LIKE 'have_symlink';,Automated
4.7,S'assurer que 'secure_file_priv' est configuré,Restreint LOAD DATA INFILE à un répertoire précis.,Réduire les risques d'exfiltration de fichiers.,SHOW GLOBAL VARIABLES WHERE Variable_name = 'secure_file_priv';,"Un répertoire sécurisé valide, et non vide.",Medium,Configurer secure_file_priv=/path/to/dir.,p.101,configuration,Base de données,SHOW GLOBAL VARIABLES WHERE Variable_name = 'secure_file_priv';,Automated
4.8,S'assurer que 'sql_mode' contient 'STRICT_ALL_TABLES',Le mode strict rejette les requêtes avec des données invalides.,Éviter le comportement inattendu lors de la troncature silencieuse de données.,SHOW VARIABLES LIKE 'sql_mode';,Doit inclure STRICT_ALL_TABLES.,High,Ajouter STRICT_ALL_TABLES dans sql_mode.,p.103,configuration,Base de données,SHOW VARIABLES LIKE 'sql_mode';,Automated
4.9,Activer le chiffrement au repos (data-at-rest encryption),Le chiffrement au repos protège les données stockées.,Prévenir l'accès aux données en cas de vol de disques.,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables where variable_name like '%ENCRYPT%';",innodb_encrypt_tables=ON et chiffrement activé.,High,Configurer le plugin file_key_management et activer le chiffrement InnoDB.,p.105,configuration,Base de données,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables where variable_name like '%ENCRYPT%';",Automated
5.1,Seuls les administrateurs ont un accès total,Limiter les privilèges forts aux comptes administratifs.,Réduire les risques de modifications non autorisées.,select * from information_schema.user_privileges where grantee not like '\'mysql.%localhost\'';,Seuls les comptes admins attendus sont retournés.,High,REVOKE des privilèges pour les utilisateurs non-admins.,p.109,configuration,Identités et accès,select * from information_schema.user_privileges where grantee not like '\'mysql.%localhost\'';,Manual
5.2,Le privilège 'FILE' n'est pas accordé aux utilisateurs non-admins,Le privilège FILE permet de lire/écrire sur l'OS.,Empêcher la compromission de l'OS depuis MariaDB.,SELECT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE PRIVILEGE_TYPE = 'FILE';,Seuls les admins sont retournés.,High,REVOKE FILE ON *.* FROM '<user>';,p.111,configuration,Identités et accès,SELECT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE PRIVILEGE_TYPE = 'FILE';,Manual
5.3,Le privilège 'PROCESS' n'est pas accordé aux non-admins,Le privilège PROCESS permet de voir les requêtes des autres.,Éviter la fuite d'informations sensibles contenues dans les requêtes.,SELECT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE PRIVILEGE_TYPE = 'PROCESS';,Seuls les admins sont retournés.,High,REVOKE PROCESS ON *.* FROM '<user>';,p.113,configuration,Identités et accès,SELECT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE PRIVILEGE_TYPE = 'PROCESS';,Manual
5.4,Le privilège 'SUPER' n'est pas accordé aux non-admins,SUPER (ou les privilèges dynamiques) permet de modifier la configuration globale.,Restreindre le contrôle de l'instance.,SELECT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE PRIVILEGE_TYPE = 'SUPER';,Seuls les admins sont retournés.,High,REVOKE SUPER ON *.* FROM '<user>';,p.115,configuration,Identités et accès,SELECT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE PRIVILEGE_TYPE = 'SUPER';,Manual
5.5,Le privilège 'SHUTDOWN' n'est pas accordé aux non-admins,Permet d'éteindre l'instance MariaDB.,Éviter un déni de service causé par un utilisateur régulier.,SELECT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE PRIVILEGE_TYPE = 'SHUTDOWN';,Seuls les admins sont retournés.,High,REVOKE SHUTDOWN ON *.* FROM '<user>';,p.117,configuration,Identités et accès,SELECT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE PRIVILEGE_TYPE = 'SHUTDOWN';,Manual
5.6,Le privilège 'CREATE USER' n'est pas accordé aux non-admins,Permet de créer de nouveaux utilisateurs.,Empêcher la création de comptes backdoor.,SELECT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE PRIVILEGE_TYPE = 'CREATE USER';,Seuls les admins sont retournés.,High,REVOKE CREATE USER ON *.* FROM '<user>';,p.119,configuration,Identités et accès,SELECT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE PRIVILEGE_TYPE = 'CREATE USER';,Manual
5.7,Le privilège 'GRANT OPTION' n'est pas accordé aux non-admins,Permet d'accorder ses propres privilèges à d'autres.,Empêcher l'escalade de privilèges.,SELECT DISTINCT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE IS_GRANTABLE = 'YES';,Seuls les admins sont retournés.,High,REVOKE GRANT OPTION ON *.* FROM '<user>';,p.121,configuration,Identités et accès,SELECT DISTINCT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE IS_GRANTABLE = 'YES';,Manual
5.8,Le privilège 'REPLICATION SLAVE' n'est pas accordé aux non-admins,Permet de lire les flux de réplication (et donc toutes les données).,Restreindre l'accès au flux binaire.,SELECT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE PRIVILEGE_TYPE = 'REPLICATION SLAVE';,Seuls les comptes de réplication sont retournés.,Medium,REVOKE REPLICATION SLAVE ON *.* FROM '<user>';,p.123,configuration,Identités et accès,SELECT GRANTEE FROM INFORMATION_SCHEMA.USER_PRIVILEGES WHERE PRIVILEGE_TYPE = 'REPLICATION SLAVE';,Manual
5.9,Les privilèges DML/DDL sont limités à des bases spécifiques,Limiter les privilèges de modification de données ou schémas à certaines bases.,Appliquer le moindre privilège par base de données.,"SELECT User,Host,Db FROM mysql.db WHERE Select_priv='Y' OR Insert_priv='Y'...",Chaque utilisateur n'a accès qu'à sa propre base.,High,REVOKE privilèges globaux et GRANT sur bases spécifiques.,p.125,configuration,Identités et accès,"SELECT User,Host,Db FROM mysql.db WHERE Select_priv='Y' OR Insert_priv='Y';",Manual
5.10,Définir de manière sécurisée DEFINER et INVOKER,Les procédures stockées s'exécutent avec les droits de DEFINER ou INVOKER.,Éviter les procédures exécutées par erreur avec des droits SUPER.,SHOW PROCEDURE STATUS; Vérifier le DEFINER.,Les procédures utilisent un DEFINER approprié et restreint.,High,Modifier les procédures pour utiliser un DEFINER sécurisé.,p.127,configuration,Base de données,SHOW PROCEDURE STATUS; SHOW FUNCTION STATUS;,Manual
6.1,S'assurer que 'log_error' est correctement configuré,Le journal d'erreurs doit être activé vers un fichier et non stderr.,Assurer la conservation des erreurs critiques.,SHOW variables LIKE 'log_error';,"Un chemin de fichier valide, pas stderr.",Medium,Configurer log_error dans mariadb.cnf.,p.130,configuration,Audit,SHOW variables LIKE 'log_error';,Automated
6.2,Les fichiers logs sont stockés sur une partition non système,Déplacer les journaux hors de /var ou root pour éviter de remplir la partition OS.,Éviter un crash de l'OS par saturation de disque.,SELECT @@global.log_bin_basename;,Ne pointe pas sur la partition racine.,Medium,Modifier log_bin vers un répertoire dédié.,p.132,configuration,Système/OS,SELECT @@global.log_bin_basename;,Automated
6.3,S'assurer que 'log_warnings' est défini sur '2',Permet de journaliser les erreurs de communication réseau.,Détecter les tentatives de connexion malveillantes.,SHOW GLOBAL VARIABLES LIKE 'log_warnings';,La valeur est 2.,Medium,log_warnings = 2 dans la configuration.,p.134,configuration,Audit,SHOW GLOBAL VARIABLES LIKE 'log_warnings';,Automated
6.4,S'assurer que le journal d'audit est activé,L'activation de l'audit permet de tracer qui fait quoi.,Garder une trace des accès et modifications.,SHOW VARIABLES LIKE '%audit%';,server_audit_logging est ON.,High,plugin_load_add=server_audit et server_audit_logging=ON,p.136,configuration,Audit,SHOW VARIABLES LIKE '%audit%';,Automated
6.5,Le plugin d'audit ne peut pas être déchargé,S'assurer que personne ne peut arrêter l'audit dynamiquement.,Empêcher le contournement de l'audit.,SELECT LOAD_OPTION FROM information_schema.plugins WHERE PLUGIN_NAME='SERVER_AUDIT';,FORCE_PLUS_PERMANENT.,Medium,server_audit=FORCE_PLUS_PERMANENT,p.138,configuration,Audit,SELECT LOAD_OPTION FROM information_schema.plugins WHERE PLUGIN_NAME='SERVER_AUDIT';,Automated
6.6,S'assurer que les Binary et Relay Logs sont chiffrés,Chiffrer les binlogs au repos.,Protéger les données copiées dans les journaux.,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables where variable_name like '%ENCRYPT_LOG%';",ON pour le chiffrement des logs.,High,encrypt_binlog=ON,p.140,configuration,Audit,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables where variable_name like '%ENCRYPT_LOG%';",Automated
7.1,Désactiver l'utilisation du plugin mysql_old_password,Les anciens mots de passe sont vulnérables.,Éliminer l'utilisation de hachages faibles.,SHOW VARIABLES WHERE Variable_name = 'old_passwords';,OFF.,Critical,old_passwords=0 et secure_auth=ON,p.143,configuration,Identités et accès,SHOW VARIABLES WHERE Variable_name = 'old_passwords';,Automated
7.2,Aucun mot de passe n'est stocké dans la configuration globale,Les mots de passe dans mariadb.cnf sont lisibles par tous.,Protéger la confidentialité des mots de passe.,Vérifier mariadb.cnf pour la présence de mots de passe.,Aucun paramètre password.,High,Utiliser .mariadb.cnf ou mysql_config_editor.,p.145,configuration,Système/OS,grep password /etc/mysql/mariadb.cnf,Automated
7.3,Une authentification forte est utilisée pour tous les comptes,Utiliser des plugins robustes (ed25519) au lieu de mysql_native_password.,Améliorer la sécurité des mots de passe.,"SELECT User,host FROM mysql.user WHERE plugin IN('mysql_native_password', 'mysql_old_password');",Aucune ligne retournée.,High,ALTER USER pour utiliser ed25519 ou pam.,p.147,configuration,Identités et accès,"SELECT User,host FROM mysql.user WHERE plugin IN('mysql_native_password', 'mysql_old_password','');",Automated
7.4,Des politiques de complexité de mot de passe sont en place,Utiliser le plugin simple_password_check ou cracklib.,Empêcher l'usage de mots de passe faibles.,SHOW VARIABLES LIKE '%pass%';,Plugin actif et longueur minimale de 14.,Medium,Installer le plugin de validation de mots de passe.,p.151,configuration,Identités et accès,SHOW VARIABLES LIKE '%pass%';,Automated
7.5,Aucun utilisateur n'a de nom d'hôte joker (wildcard),L'utilisation de '%' autorise la connexion depuis n'importe où.,Restreindre l'accès réseau.,"SELECT user, host FROM mysql.user WHERE host = '%';",Aucun compte retourné.,High,ALTER USER avec un nom d'hôte précis.,p.154,configuration,Réseau,"SELECT user, host FROM mysql.user WHERE host = '%';",Automated
7.6,Aucun compte anonyme n'existe,Les comptes sans nom permettent à quiconque de se connecter.,Assurer que toute connexion est identifiée.,"SELECT user,host FROM mysql.user WHERE user = '';",Aucun compte retourné.,High,DROP USER ''@'localhost';,p.155,configuration,Identités et accès,"SELECT user,host FROM mysql.user WHERE user = '';",Automated
8.1,S'assurer que require_secure_transport = ON et have_ssl = YES,Tout trafic doit être chiffré.,Empêcher les attaques de type Man-in-the-Middle.,select @@require_secure_transport; et SHOW variables WHERE variable_name = 'have_ssl';,1 (ON) et YES.,High,Configurer require_secure_transport=ON.,p.158,configuration,Réseau,select @@require_secure_transport; SHOW variables WHERE variable_name = 'have_ssl';,Automated
